"","PSID","Gene","Module"
"GH1","GH1","GH1","grey"
"CSH1","CSH1","CSH1","grey"
"GH2","GH2","GH2","grey"
"CSHL1","CSHL1","CSHL1","grey"
"CSH2","CSH2","CSH2","grey"
"PRL","PRL","PRL","grey"
"RN7SKP147","RN7SKP147","RN7SKP147","grey"
"LARS2","LARS2","LARS2","grey"
"TTR","TTR","TTR","grey"
"IL31RA","IL31RA","IL31RA","grey"
"RNVU1-1","RNVU1-1","RNVU1-1","grey"
"MT-ATP6","MT-ATP6","MT-ATP6","grey"
"CAPN11","CAPN11","CAPN11","grey"
"ZIC1","ZIC1","ZIC1","red"
"GPR88","GPR88","GPR88","blue"
"VGLL3","VGLL3","VGLL3","green"
"C4B","C4B","C4B","yellow"
"C4A","C4A","C4A","yellow"
"IGFBPL1","IGFBPL1","IGFBPL1","turquoise"
"FOS","FOS","FOS","salmon"
"LCN2","LCN2","LCN2","grey"
"FBXW12","FBXW12","FBXW12","grey"
"KLK6","KLK6","KLK6","yellow"
"EOMES","EOMES","EOMES","red"
"C3","C3","C3","yellow"
"SAMD3","SAMD3","SAMD3","red"
"TEDC1","TEDC1","TEDC1","grey"
"EGR2","EGR2","EGR2","salmon"
"HBA1","HBA1","HBA1","grey"
"HBA2","HBA2","HBA2","grey"
"EPS8L1","EPS8L1","EPS8L1","grey"
"COL6A3","COL6A3","COL6A3","red"
"ISL1","ISL1","ISL1","red"
"ECEL1","ECEL1","ECEL1","red"
"EBF3","EBF3","EBF3","red"
"IFIT1B","IFIT1B","IFIT1B","yellow"
"JARID2","JARID2","JARID2","grey"
"POMC","POMC","POMC","grey"
"TPH1","TPH1","TPH1","grey"
"RBP3","RBP3","RBP3","grey"
"ZIC4","ZIC4","ZIC4","red"
"FMO2","FMO2","FMO2","grey"
"FMOD","FMOD","FMOD","black"
"ETNPPL","ETNPPL","ETNPPL","grey"
"DIO3","DIO3","DIO3","green"
"HIF3A","HIF3A","HIF3A","grey"
"CD74","CD74","CD74","grey"
"PRDM12","PRDM12","PRDM12","red"
"POSTN","POSTN","POSTN","red"
"GLP1R","GLP1R","GLP1R","red"
"IFIT3","IFIT3","IFIT3","yellow"
"SPP1","SPP1","SPP1","black"
"SCN5A","SCN5A","SCN5A","red"
"SIX3","SIX3","SIX3","red"
"IGFN1","IGFN1","IGFN1","blue"
"SSPN","SSPN","SSPN","grey"
"NPAS4","NPAS4","NPAS4","salmon"
"PLIN4","PLIN4","PLIN4","grey"
"PLD5","PLD5","PLD5","red"
"DSC3","DSC3","DSC3","blue"
"CTGF","CTGF","CTGF","blue"
"PTGDS","PTGDS","PTGDS","black"
"SLC22A6","SLC22A6","SLC22A6","black"
"ADORA2A","ADORA2A","ADORA2A","grey"
"ALDH1A2","ALDH1A2","ALDH1A2","black"
"ARC","ARC","ARC","salmon"
"IFI27L2","IFI27L2","IFI27L2","yellow"
"CDK8","CDK8","CDK8","grey"
"XDH","XDH","XDH","grey"
"CLDN14","CLDN14","CLDN14","turquoise"
"BAIAP3","BAIAP3","BAIAP3","red"
"PRG4","PRG4","PRG4","black"
"CLEC7A","CLEC7A","CLEC7A","yellow"
"SULT1C3","SULT1C3","SULT1C3","yellow"
"LAMC2","LAMC2","LAMC2","blue"
"CDH1","CDH1","CDH1","black"
"SLC47A1","SLC47A1","SLC47A1","black"
"C1orf115","C1orf115","C1orf115","red"
"TRHR","TRHR","TRHR","green"
"CPLX3","CPLX3","CPLX3","blue"
"SP8","SP8","SP8","red"
"BGLAP","BGLAP","BGLAP","blue"
"HPS5","HPS5","HPS5","grey"
"IL33","IL33","IL33","grey"
"MT-ND3","MT-ND3","MT-ND3","grey"
"IRS4","IRS4","IRS4","red"
"IRF7","IRF7","IRF7","yellow"
"DCN","DCN","DCN","green"
"DUOX2","DUOX2","DUOX2","red"
"TRH","TRH","TRH","grey"
