"","PSID","Gene","Module"
"HSPA1A","HSPA1A","HSPA1A","purple"
"HBA1","HBA1","HBA1","grey"
"HBA2","HBA2","HBA2","grey"
"HBG1","HBG1","HBG1","grey"
"MT1F","MT1F","MT1F","green"
"ELF5","ELF5","ELF5","grey"
"MUTYH","MUTYH","MUTYH","turquoise"
"C1orf182","C1orf182","C1orf182","grey"
"MID1IP1","MID1IP1","MID1IP1","brown"
"RGS1","RGS1","RGS1","blue"
"DSP","DSP","DSP","greenyellow"
"TMPRSS5","TMPRSS5","TMPRSS5","grey"
"SNCB","SNCB","SNCB","grey"
"IL6","IL6","IL6","grey"
"IGF2","IGF2","IGF2","grey"
"MT1JP","MT1JP","MT1JP","green"
"SLC1A7","SLC1A7","SLC1A7","grey"
"FAM20A","FAM20A","FAM20A","greenyellow"
"CXCL2","CXCL2","CXCL2","grey"
"BAG3","BAG3","BAG3","purple"
"CYP1B1","CYP1B1","CYP1B1","blue"
"ADM","ADM","ADM","grey"
"CRYBB2","CRYBB2","CRYBB2","grey"
"FMOD","FMOD","FMOD","greenyellow"
"DNAJB1","DNAJB1","DNAJB1","purple"
"MBP","MBP","MBP","grey"
"VGF","VGF","VGF","turquoise"
"IRX3","IRX3","IRX3","grey"
"TMEM30B","TMEM30B","TMEM30B","grey"
"G0S2","G0S2","G0S2","purple"
"SYTL4","SYTL4","SYTL4","green"
"VCAM1","VCAM1","VCAM1","greenyellow"
"FOXJ1","FOXJ1","FOXJ1","purple"
"ZNF423","ZNF423","ZNF423","yellow"
"ANGPTL4","ANGPTL4","ANGPTL4","grey"
"CHI3L1","CHI3L1","CHI3L1","grey"
"SERPINA3","SERPINA3","SERPINA3","grey"
"SLC14A1","SLC14A1","SLC14A1","blue"
"SNAP25","SNAP25","SNAP25","turquoise"
"MT1L","MT1L","MT1L","green"
"IL18RAP","IL18RAP","IL18RAP","grey"
"SLCO4A1","SLCO4A1","SLCO4A1","green"
"ENSA","ENSA","ENSA","turquoise"
"MKNK2","MKNK2","MKNK2","purple"
"MGAT5B","MGAT5B","MGAT5B","yellow"
"CAMK2N1","CAMK2N1","CAMK2N1","pink"
"ANGPT2","ANGPT2","ANGPT2","blue"
"JUNB","JUNB","JUNB","grey"
"AHNAK","AHNAK","AHNAK","grey"
"GEM","GEM","GEM","green"
"CTGF","CTGF","CTGF","grey"
"FRMPD2","FRMPD2","FRMPD2","turquoise"
"HLA-DRB3","HLA-DRB3","HLA-DRB3","black"
"HPR","HPR","HPR","grey"
"CEBPD","CEBPD","CEBPD","brown"
"KIAA1199","KIAA1199","KIAA1199","greenyellow"
"RTEL1","RTEL1","RTEL1","blue"
"HLA-DRB1","HLA-DRB1","HLA-DRB1","grey"
"HIST1H2BD","HIST1H2BD","HIST1H2BD","brown"
"HSPA6","HSPA6","HSPA6","purple"
"HBB","HBB","HBB","grey"
"AP2B1","AP2B1","AP2B1","grey"
"ZNF100","ZNF100","ZNF100","grey"
"APOLD1","APOLD1","APOLD1","blue"
"ITGB1BP1","ITGB1BP1","ITGB1BP1","grey"
"C1QA","C1QA","C1QA","black"
"TXNIP","TXNIP","TXNIP","blue"
"C4B","C4B","C4B","blue"
"HES5","HES5","HES5","grey"
"SLC30A4","SLC30A4","SLC30A4","yellow"
"CCL2","CCL2","CCL2","grey"
"IFITM3","IFITM3","IFITM3","blue"
"EDN1","EDN1","EDN1","grey"
"HBD","HBD","HBD","grey"
"MLPH","MLPH","MLPH","greenyellow"
"C7","C7","C7","greenyellow"
"DDIT4","DDIT4","DDIT4","blue"
"S100A4","S100A4","S100A4","green"
"FRZB","FRZB","FRZB","greenyellow"
"FKBP5","FKBP5","FKBP5","blue"
"CFH","CFH","CFH","greenyellow"
"GADD45B","GADD45B","GADD45B","grey"
"GBP3","GBP3","GBP3","grey"
"HIST1H1C","HIST1H1C","HIST1H1C","brown"
"IER3","IER3","IER3","grey"
"AHDC1","AHDC1","AHDC1","yellow"
"DDIT4L","DDIT4L","DDIT4L","green"
"PRELP","PRELP","PRELP","greenyellow"
"MRVI1","MRVI1","MRVI1","grey"
"SPON2","SPON2","SPON2","turquoise"
"TLN1","TLN1","TLN1","brown"
"RGS4","RGS4","RGS4","turquoise"
"COL1A2","COL1A2","COL1A2","greenyellow"
"LILRB3","LILRB3","LILRB3","grey"
"CX3CR1","CX3CR1","CX3CR1","black"
"AGTR1","AGTR1","AGTR1","greenyellow"
"SERPINA5","SERPINA5","SERPINA5","grey"
"THSD4","THSD4","THSD4","greenyellow"
"AQP1","AQP1","AQP1","grey"
"S100A1","S100A1","S100A1","yellow"
"MICB","MICB","MICB","purple"
"GADD45G","GADD45G","GADD45G","green"
"COL6A3","COL6A3","COL6A3","greenyellow"
"ALKBH7","ALKBH7","ALKBH7","grey"
"HLA-DPA1","HLA-DPA1","HLA-DPA1","black"
"C12orf53","C12orf53","C12orf53","pink"
"GJA1","GJA1","GJA1","blue"
"CXCL12","CXCL12","CXCL12","turquoise"
"LHX1","LHX1","LHX1","grey"
"TGFBI","TGFBI","TGFBI","black"
"RAB3A","RAB3A","RAB3A","pink"
"CD24","CD24","CD24","grey"
"SYT1","SYT1","SYT1","turquoise"
"CTXN1","CTXN1","CTXN1","pink"
"SLC1A2","SLC1A2","SLC1A2","grey"
"S100A11","S100A11","S100A11","brown"
"PLA1A","PLA1A","PLA1A","blue"
"PEX6","PEX6","PEX6","grey"
"CD68","CD68","CD68","black"
"MBNL1","MBNL1","MBNL1","grey"
"ADARB2","ADARB2","ADARB2","grey"
"AEBP1","AEBP1","AEBP1","green"
"CXCR4","CXCR4","CXCR4","blue"
"CASP8","CASP8","CASP8","grey"
"GSTM1","GSTM1","GSTM1","grey"
"TIMP1","TIMP1","TIMP1","blue"
"KLF2","KLF2","KLF2","grey"
"MT1X","MT1X","MT1X","green"
"IMPDH2","IMPDH2","IMPDH2","turquoise"
"CHORDC1","CHORDC1","CHORDC1","purple"
"PCSK7","PCSK7","PCSK7","grey"
"APOC2","APOC2","APOC2","grey"
"AZGP1","AZGP1","AZGP1","green"
"KLF15","KLF15","KLF15","brown"
"TRPM4","TRPM4","TRPM4","grey"
"FCGR3A","FCGR3A","FCGR3A","black"
"MTA2","MTA2","MTA2","yellow"
"SLC35E2","SLC35E2","SLC35E2","grey"
"PSPH","PSPH","PSPH","grey"
"MYOT","MYOT","MYOT","green"
"RBM3","RBM3","RBM3","turquoise"
"FMN2","FMN2","FMN2","turquoise"
"PDK4","PDK4","PDK4","blue"
"PVALB","PVALB","PVALB","turquoise"
"FOXC1","FOXC1","FOXC1","greenyellow"
"COLEC11","COLEC11","COLEC11","grey"
"BCAS1","BCAS1","BCAS1","grey"
"PRKY","PRKY","PRKY","grey"
"FAM107A","FAM107A","FAM107A","blue"
"CDKN1A","CDKN1A","CDKN1A","grey"
"STON1","STON1","STON1","grey"
"RGL3","RGL3","RGL3","grey"
"TRIP10","TRIP10","TRIP10","brown"
"AIF1","AIF1","AIF1","black"
"CAPS","CAPS","CAPS","blue"
"CFI","CFI","CFI","grey"
"STX11","STX11","STX11","blue"
"KDR","KDR","KDR","grey"
"RPS26","RPS26","RPS26","grey"
"CD44","CD44","CD44","grey"
"MYBPC1","MYBPC1","MYBPC1","grey"
"RAC3","RAC3","RAC3","grey"
"CNTFR","CNTFR","CNTFR","yellow"
"IGFBP5","IGFBP5","IGFBP5","grey"
"AXL","AXL","AXL","brown"
"TRIM4","TRIM4","TRIM4","grey"
"GAP43","GAP43","GAP43","red"
"TSPAN8","TSPAN8","TSPAN8","grey"
"PITPNB","PITPNB","PITPNB","turquoise"
"P4HA2","P4HA2","P4HA2","purple"
"CXorf36","CXorf36","CXorf36","grey"
"CD99","CD99","CD99","blue"
"GBP2","GBP2","GBP2","grey"
"POMC","POMC","POMC","grey"
"HES1","HES1","HES1","grey"
"MRGPRF","MRGPRF","MRGPRF","blue"
"SLC16A1","SLC16A1","SLC16A1","grey"
"HMBOX1","HMBOX1","HMBOX1","grey"
"IL10RA","IL10RA","IL10RA","black"
"ABCA6","ABCA6","ABCA6","grey"
"CSDA","CSDA","CSDA","grey"
"GPR4","GPR4","GPR4","green"
"GRIA3","GRIA3","GRIA3","grey"
"ALAS2","ALAS2","ALAS2","grey"
"HLA-DMB","HLA-DMB","HLA-DMB","black"
"IGF1","IGF1","IGF1","turquoise"
"F3","F3","F3","grey"
"GBP1","GBP1","GBP1","grey"
"PTK2B","PTK2B","PTK2B","yellow"
"S100A10","S100A10","S100A10","blue"
"ADAMTS1","ADAMTS1","ADAMTS1","blue"
"NR4A2","NR4A2","NR4A2","turquoise"
"ADORA3","ADORA3","ADORA3","black"
"RLBP1","RLBP1","RLBP1","grey"
"GJA4","GJA4","GJA4","green"
"CAMK2A","CAMK2A","CAMK2A","grey"
"FPR1","FPR1","FPR1","black"
"IFITM1","IFITM1","IFITM1","blue"
"CPXM2","CPXM2","CPXM2","greenyellow"
"NTRK2","NTRK2","NTRK2","pink"
"TYROBP","TYROBP","TYROBP","black"
"OTOS","OTOS","OTOS","blue"
"EBI3","EBI3","EBI3","black"
"GPR26","GPR26","GPR26","pink"
"TSPAN10","TSPAN10","TSPAN10","grey"
"COL1A1","COL1A1","COL1A1","greenyellow"
"TWIST1","TWIST1","TWIST1","brown"
"SLAMF8","SLAMF8","SLAMF8","grey"
"NPY","NPY","NPY","turquoise"
"DUSP1","DUSP1","DUSP1","blue"
"FAM46A","FAM46A","FAM46A","purple"
"DTNA","DTNA","DTNA","grey"
"RAPGEF5","RAPGEF5","RAPGEF5","grey"
"TMTC1","TMTC1","TMTC1","grey"
