"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Immune System_Homo sapiens_R-HSA-168256","36/1547",7.58186454693572e-14,2.10775834404813e-11,5.19577042839675e-12,1.4444241790943e-09,-2.23223334179793,67.4367339155008,"C1QA;CYFIP1;UNC93B1;ITGB2;EBI3;TREM2;IFI30;FYB;C3;HLA-DMA;FCGR3A;HLA-DMB;INPP5D;RPS6KA1;PLCG2;CD14;CTSC;CD33;HLA-DPA1;HAVCR2;LYN;HLA-DRB4;FCER1G;SYK;CD300A;LY86;CYBB;CYBA;VAV1;LAT2;CD4;TYROBP;PTPRC;TLR7;HLA-DRB3;TLR2"
"2","Adaptive Immune System_Homo sapiens_R-HSA-1280218","24/762",5.40297323267774e-12,7.51013279342206e-10,3.14284640664469e-10,4.36855650523612e-08,-2.27460707633518,59.0125691124281,"LYN;HLA-DRB4;SYK;CD300A;ITGB2;CYBB;TREM2;CYBA;IFI30;FYB;VAV1;C3;CD4;HLA-DMA;FCGR3A;HLA-DMB;PTPRC;TYROBP;INPP5D;PLCG2;HLA-DRB3;CTSC;CD33;HLA-DPA1"
"3","Innate Immune System_Homo sapiens_R-HSA-168249","20/807",2.3794645821166e-08,2.20497051276139e-06,7.14691628813865e-07,6.62280909367515e-05,-2.41320165980626,42.3608719581567,"LYN;CYFIP1;C1QA;FCER1G;SYK;UNC93B1;ITGB2;LY86;TREM2;VAV1;C3;LAT2;FCGR3A;CD4;TYROBP;RPS6KA1;PLCG2;TLR7;CD14;TLR2"
"4","Phosphorylation of CD3 and TCR zeta chains_Homo sapiens_R-HSA-202427","5/24",2.05465816974739e-07,1.14238994237955e-05,1.71047054647631e-06,0.000118877702980104,-2.01043163534523,30.9565984918507,"CD4;PTPRC;HLA-DRB4;HLA-DRB3;HLA-DPA1"
"5","Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898","8/140",1.300154690002e-06,5.1634714831508e-05,9.80909899922554e-06,0.000340866190223088,-2.10913237297503,28.5851286476796,"UNC93B1;ITGB2;RPS6KA1;LY86;PLCG2;TLR7;CD14;TLR2"
"6","Generation of second messenger molecules_Homo sapiens_R-HSA-202433","5/35",1.49346567895131e-06,5.18979323435579e-05,8.91723728099547e-06,0.000340866190223088,-1.93899830585141,26.0105205516936,"CD4;HLA-DRB4;HLA-DRB3;FYB;HLA-DPA1"
"7","GPVI-mediated activation cascade_Homo sapiens_R-HSA-114604","6/53",5.26262466661121e-07,2.4383494288632e-05,3.657616217314e-06,0.000169469551402215,-1.78108938897248,25.750038861223,"LYN;FCER1G;SYK;RAC2;PLCG2;VAV1"
"8","MHC class II antigen presentation_Homo sapiens_R-HSA-2132295","7/103",1.93144435203717e-06,5.96601699851483e-05,1.27128543938199e-05,0.000392685946831327,-1.87589072565285,24.681549117144,"HLA-DMA;HLA-DRB4;HLA-DMB;HLA-DRB3;IFI30;CTSC;HLA-DPA1"
"9","Dectin-2 family_Homo sapiens_R-HSA-5621480","4/10",1.97632106435592e-07,1.14238994237955e-05,2.31073217667274e-06,0.000128476709023005,-1.59123351978377,24.5636468172244,"LYN;FCER1G;SYK;PLCG2"
"10","TCR signaling_Homo sapiens_R-HSA-202403","7/118",4.79433548663578e-06,0.000121165933207704,2.92737812324203e-05,0.000678175931884404,-1.99586875395169,24.4455510744747,"CD4;HLA-DRB4;PTPRC;INPP5D;HLA-DRB3;FYB;HLA-DPA1"
"11","Costimulation by the CD28 family_Homo sapiens_R-HSA-388841","6/72",3.28281833859868e-06,9.12623498130432e-05,1.87437279902487e-05,0.000521075638128915,-1.89122875805835,23.8801828942293,"LYN;CD4;HLA-DRB4;HLA-DRB3;VAV1;HLA-DPA1"
"12","Translocation of ZAP-70 to Immunological synapse_Homo sapiens_R-HSA-202430","4/21",5.36854447361265e-06,0.00012437128030536,2.75158906390761e-05,0.000678175931884404,-1.79422701087157,21.7728617650903,"CD4;HLA-DRB4;HLA-DRB3;HLA-DPA1"
"13","PD-1 signaling_Homo sapiens_R-HSA-389948","4/26",1.31210674195266e-05,0.000280588980202183,5.80227925642884e-05,0.00124079510252863,-1.87601595141348,21.088842017586,"CD4;HLA-DRB4;HLA-DRB3;HLA-DPA1"
"14","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933","7/157",3.09234763703638e-05,0.000614051887925796,0.000163856625132326,0.0032537244133419,-1.90629568431042,19.7949646817681,"C3;FCGR3A;TYROBP;CD300A;ITGB2;TREM2;CD33"
