"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","neutrophil degranulation (GO:0043312)","21/480",2.85600839548724e-13,1.1521249314608e-10,3.04097920138311e-12,1.20590549233607e-09,-2.01609882739446,58.2333638976757,"CYFIP1;GRN;FCER1G;CD300A;GMFG;RNASET2;ITGB2;FPR1;CYBB;CYBA;SLC2A5;C3;VAMP8;PTPRC;TYROBP;MAN2B1;CD14;CD68;CD33;CTSC;TLR2"
"2","neutrophil mediated immunity (GO:0002446)","21/488",3.92769862997999e-13,1.1521249314608e-10,4.1110414511457e-12,1.20590549233607e-09,-1.94339080231119,55.5140320787,"CYFIP1;GRN;FCER1G;CD300A;GMFG;RNASET2;ITGB2;FPR1;CYBB;CYBA;SLC2A5;C3;VAMP8;PTPRC;TYROBP;MAN2B1;CD14;CD68;CD33;CTSC;TLR2"
"3","neutrophil activation involved in immune response (GO:0002283)","22/484",3.32061706590654e-14,2.92214301799775e-11,4.0353148656509e-13,3.55107708177279e-10,-1.25121085074914,38.8326308543914,"CYFIP1;GRN;FCER1G;SYK;CD300A;GMFG;RNASET2;ITGB2;FPR1;CYBB;CYBA;SLC2A5;C3;VAMP8;PTPRC;TYROBP;MAN2B1;CD14;CD68;CD33;CTSC;TLR2"
"4","antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)","7/98",1.38021835393994e-06,0.000184862039720783,4.1495992151887e-06,0.000555727958941192,-1.97606420164147,26.6635655253951,"HLA-DMA;FCER1G;HLA-DMB;HLA-DRB4;HLA-DRB3;IFI30;HLA-DPA1"
"5","cellular response to bacterial lipopeptide (GO:0071221)","2/7",0.000652280238816024,0.0136668240513834,0.00135835951023714,0.0259860080219278,-3.59577268377398,26.3751230694259,"CD14;TLR2"
"6","antigen processing and presentation of exogenous peptide antigen (GO:0002478)","7/98",1.38021835393994e-06,0.000184862039720783,4.1495992151887e-06,0.000555727958941192,-1.90713432428919,25.7334761589093,"HLA-DMA;FCER1G;HLA-DMB;HLA-DRB4;HLA-DRB3;IFI30;HLA-DPA1"
"7","antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)","7/99",1.47836542952059e-06,0.000184862039720783,4.42056330975948e-06,0.000555727958941192,-1.85411783018852,24.8907411261905,"HLA-DMA;FCER1G;HLA-DMB;HLA-DRB4;HLA-DRB3;IFI30;HLA-DPA1"
"8","regulation of mast cell degranulation (GO:0043304)","3/16",9.32127291813628e-05,0.00390605722283806,0.000214404341052022,0.00898456286313237,-2.53834727000127,23.5574523472177,"LYN;SYK;CD300A"
"9","cellular response to low-density lipoprotein particle stimulus (GO:0071404)","3/14",6.1089928682236e-05,0.00298661873557598,0.000151831218695431,0.0074228595806655,-2.42109002834257,23.4922324869832,"FCER1G;SYK;ITGB2"
"10","Fc-gamma receptor signaling pathway (GO:0038094)","7/135",1.16353895385835e-05,0.000895408120400502,3.00505219241997e-05,0.00251502579431822,-2.06172486541701,23.4242031088646,"LYN;CYFIP1;FCGR3A;FCER1G;SYK;PLCG2;VAV1"
"11","immune response-activating cell surface receptor signaling pathway (GO:0002429)","3/21",0.000216867167332994,0.00658079680182879,0.000437797476541673,0.0132848889433335,-2.65997555327359,22.4401536556341,"LYN;FCER1G;FPR1"
"12","positive regulation of myeloid leukocyte mediated immunity (GO:0002888)","2/10",0.00138232375591266,0.019331754333635,0.00246003791895366,0.0338255213856129,-3.30987099766887,21.7921552822008,"SYK;ITGB2"
"13","cellular response to lipoteichoic acid (GO:0071223)","2/7",0.000652280238816024,0.0136668240513834,0.00135835951023714,0.0259860080219278,-2.90796936263927,21.3300607593558,"CD14;TLR2"
"14","response to lipoteichoic acid (GO:0070391)","2/7",0.000652280238816024,0.0136668240513834,0.00135835951023714,0.0259860080219278,-2.86002007089671,20.9783509650997,"CD14;TLR2"
"15","positive regulation of mast cell degranulation (GO:0043306)","2/8",0.000866495629231676,0.0149512971318407,0.00169103446147078,0.0286175062710439,-2.96447438170309,20.9026674439739,"VAMP8;SYK"
"16","fusion of virus membrane with host plasma membrane (GO:0019064)","2/8",0.000866495629231676,0.0149512971318407,0.00169103446147078,0.0286175062710439,-2.86979923603898,20.23510792744,"CD4;CCR5"
"17","inflammatory response (GO:0006954)","9/253",1.36802627153713e-05,0.000926048553040522,3.80476022396902e-05,0.00257552999776365,-1.77559308764695,19.8858550024421,"LYN;SYK;ADORA3;ITGB2;FPR1;CYBB;CYBA;FOLR2;AIF1"
"18","mature B cell differentiation involved in immune response (GO:0002313)","2/10",0.00138232375591266,0.019331754333635,0.00246003791895366,0.0338255213856129,-2.98185857788094,19.6325250151773,"DOCK11;MFNG"
"19","positive regulation of T cell proliferation (GO:0042102)","6/62",1.35223792700347e-06,0.000184862039720783,4.10264376645798e-06,0.000555727958941192,-1.40723794657731,19.0170612578085,"HLA-DMB;PTPRC;SYK;EBI3;AIF1;HLA-DPA1"
"20","I-kappaB phosphorylation (GO:0007252)","2/11",0.00168327643409533,0.0217835773824102,0.00289549403416448,0.037471099265658,-2.96858508329885,18.9603918940484,"TLR7;TLR2"
"21","regulation of toll-like receptor 2 signaling pathway (GO:0034135)","2/9",0.0011099539370133,0.0180881382328093,0.00205840666695733,0.0335444049430084,-2.69241738540452,18.3176914204077,"LYN;CYBA"
"22","membrane fusion involved in viral entry into host cell (GO:0039663)","2/8",0.000866495629231676,0.0149512971318407,0.00169103446147078,0.0286175062710439,-2.59284540399199,18.2822916425893,"CD4;CCR5"
"23","marginal zone B cell differentiation (GO:0002315)","2/8",0.000866495629231676,0.0149512971318407,0.00169103446147078,0.0286175062710439,-2.59224812278773,18.2780801808677,"DOCK11;MFNG"
"24","regulation of leukocyte degranulation (GO:0043300)","2/10",0.00138232375591266,0.019331754333635,0.00246003791895366,0.0338255213856129,-2.7691307209328,18.2319270780587,"LYN;SYK"
"25","positive regulation of leukocyte degranulation (GO:0043302)","2/12",0.00201248605282208,0.0233024700853082,0.00336434482107249,0.0374762461081492,-2.91806368679449,18.1164613017418,"SYK;ITGB2"
"26","Rac protein signal transduction (GO:0016601)","3/20",0.000186653078353858,0.00586623960540697,0.000384812969365044,0.01209412189433,-2.09327617802996,17.9734111302162,"CYFIP1;RAC2;AIF1"
