BioSample,Experiment,MBases,MBytes,Run,SRA_Sample,Sample_Name,Sex,age,Assay_Type,AvgSpotLen,BioProject,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,InsertSize,Instrument,LibraryLayout,LibrarySelection,LibrarySource,LoadDate,Organism,Platform,ReleaseDate,SRA_Study,source_name,strain,tissue
SAMN05335344,SRX1890413,1130,758,SRR3734796,SRS1536971,GSM2221813,female,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335333,SRX1890414,1281,792,SRR3734797,SRS1536970,GSM2221814,female,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335334,SRX1890415,1195,744,SRR3734798,SRS1536974,GSM2221815,female,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335335,SRX1890416,1304,882,SRR3734799,SRS1536972,GSM2221816,female,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335336,SRX1890417,1284,868,SRR3734800,SRS1536973,GSM2221817,female,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335337,SRX1890418,461,310,SRR3734801,SRS1536975,GSM2221818,male,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335338,SRX1890419,1342,828,SRR3734802,SRS1536978,GSM2221819,male,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335339,SRX1890420,1154,713,SRR3734803,SRS1536976,GSM2221820,male,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335340,SRX1890421,1515,1026,SRR3734804,SRS1536977,GSM2221821,male,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335341,SRX1890422,1254,846,SRR3734805,SRS1536979,GSM2221822,male,1 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
