"","ftp","study","sample","experiment","run","size(KB)","date"
"1","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734796/SRR3734796.sra","SRP077669","SRS1536971","SRX1890413","SRR3734796",NA,NA
"2","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734797/SRR3734797.sra","SRP077669","SRS1536970","SRX1890414","SRR3734797",NA,NA
"3","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734798/SRR3734798.sra","SRP077669","SRS1536974","SRX1890415","SRR3734798",NA,NA
"4","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734799/SRR3734799.sra","SRP077669","SRS1536972","SRX1890416","SRR3734799",NA,NA
"5","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734800/SRR3734800.sra","SRP077669","SRS1536973","SRX1890417","SRR3734800",NA,NA
"6","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734801/SRR3734801.sra","SRP077669","SRS1536975","SRX1890418","SRR3734801",NA,NA
"7","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734802/SRR3734802.sra","SRP077669","SRS1536978","SRX1890419","SRR3734802",NA,NA
"8","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734803/SRR3734803.sra","SRP077669","SRS1536976","SRX1890420","SRR3734803",NA,NA
"9","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734804/SRR3734804.sra","SRP077669","SRS1536977","SRX1890421","SRR3734804",NA,NA
"10","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734805/SRR3734805.sra","SRP077669","SRS1536979","SRX1890422","SRR3734805",NA,NA
"11","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734806/SRR3734806.sra","SRP077669","SRS1536980","SRX1890423","SRR3734806",NA,NA
"12","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734807/SRR3734807.sra","SRP077669","SRS1536983","SRX1890424","SRR3734807",NA,NA
"13","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734808/SRR3734808.sra","SRP077669","SRS1536981","SRX1890425","SRR3734808",NA,NA
"14","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734809/SRR3734809.sra","SRP077669","SRS1536984","SRX1890426","SRR3734809",NA,NA
"15","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734810/SRR3734810.sra","SRP077669","SRS1536985","SRX1890427","SRR3734810",NA,NA
"16","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734811/SRR3734811.sra","SRP077669","SRS1536982","SRX1890428","SRR3734811",NA,NA
"17","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734812/SRR3734812.sra","SRP077669","SRS1536986","SRX1890429","SRR3734812",NA,NA
"18","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734813/SRR3734813.sra","SRP077669","SRS1536987","SRX1890430","SRR3734813",NA,NA
