BioSample,Experiment,MBases,MBytes,Run,SRA_Sample,Sample_Name,Sex,age,genotype_variation,housing_condition,source_name,Assay_Type,AvgSpotLen,BioProject,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,InsertSize,Instrument,LibraryLayout,LibrarySelection,LibrarySource,LoadDate,Organism,Platform,ReleaseDate,SRA_Study,strain_background,tissue
SAMN04116131,SRX1292660,5408,2028,SRR2531532,SRS1091977,GSM1896423,female,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116129,SRX1292661,4378,1583,SRR2531533,SRS1091951,GSM1896424,female,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116130,SRX1292662,4717,1700,SRR2531534,SRS1091974,GSM1896425,female,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116132,SRX1292663,3867,1404,SRR2531535,SRS1091973,GSM1896426,female,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116134,SRX1292664,5178,1900,SRR2531536,SRS1091971,GSM1896427,male,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116133,SRX1292665,4391,1590,SRR2531537,SRS1091972,GSM1896428,male,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116135,SRX1292666,4309,1575,SRR2531538,SRS1091970,GSM1896429,male,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116136,SRX1292667,4919,1799,SRR2531539,SRS1091969,GSM1896430,male,10 months,Wild Type,housed with Het (Q20) and WT mice,WT 10 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116137,SRX1292668,4638,1709,SRR2531540,SRS1091968,GSM1896431,female,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116138,SRX1292669,4502,1667,SRR2531541,SRS1091967,GSM1896432,female,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
