"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","type I interferon signaling pathway (GO:0060337)","16/66",1.96437697157468e-20,1.18353712537374e-17,1.24451671231177e-17,7.49821319167844e-15,-2.3254286794316,105.519876625464,"IFITM3;IFITM1;IFITM2;RSAD2;STAT1;STAT2;MX1;ISG15;IFIT3;IFIT2;BST2;OAS1;OAS2;IRF7;XAF1;IRF9"
"2","cellular response to type I interferon (GO:0071357)","16/66",1.96437697157468e-20,1.18353712537374e-17,1.24451671231177e-17,7.49821319167844e-15,-1.39502568018099,63.3014200624858,"IFITM3;IFITM1;IFITM2;RSAD2;STAT1;STAT2;MX1;ISG15;IFIT3;IFIT2;BST2;OAS1;OAS2;IRF7;XAF1;IRF9"
"3","neutrophil degranulation (GO:0043312)","23/480",9.34517413663937e-13,1.60870497637863e-10,6.94491165379377e-11,1.19551693468878e-08,-2.00779364833355,55.6133665546173,"FCER1G;ITGAM;ANXA3;MVP;NFAM1;SLC11A1;CTSZ;ITGB2;CYBB;CTSS;ARHGAP45;BST2;C3;FCGR2A;PTPRC;TYROBP;NPC2;C3AR1;ITGAX;MAN2B1;PTPN6;DOCK2;LAIR1"
"4","neutrophil mediated immunity (GO:0002446)","23/488",1.31367210451935e-12,1.75886098438424e-10,9.50728699490445e-11,1.27292009209554e-08,-1.93396434043317,52.909773097899,"FCER1G;ITGAM;ANXA3;MVP;NFAM1;SLC11A1;CTSZ;ITGB2;CYBB;CTSS;ARHGAP45;BST2;C3;FCGR2A;PTPRC;TYROBP;NPC2;C3AR1;ITGAX;MAN2B1;PTPN6;DOCK2;LAIR1"
"5","negative regulation of viral genome replication (GO:0045071)","12/51",1.9560372515628e-15,7.85674962711059e-13,2.30038463716225e-13,9.23987829260171e-11,-1.47270805831566,49.8774641231835,"BST2;IFITM3;IFITM1;IFITM2;IFI16;OAS1;RSAD2;OAS2;MX1;EIF2AK2;ISG15;ZC3HAV1"
"6","negative regulation of viral life cycle (GO:1903901)","12/62",2.48456677273144e-14,5.98780592228277e-12,1.7439622750119e-12,5.25368635347336e-10,-1.42093731653578,44.5124145171487,"BST2;IFITM3;IFITM1;IFITM2;IFI16;OAS1;RSAD2;OAS2;MX1;EIF2AK2;ISG15;ZC3HAV1"
"7","regulation of immune effector process (GO:0002697)","9/115",1.77578616163733e-07,1.18879018042943e-05,1.43111130752638e-06,9.5804951420516e-05,-2.86345899994904,44.5091841005482,"C1QB;C3;C4B;C1QA;C4A;PROS1;C3AR1;FCGR2B;C1QC"
"8","cytokine-mediated signaling pathway (GO:0019221)","28/634",1.75621210418535e-14,5.29058896385836e-12,2.73380956015981e-12,5.49040086665428e-10,-1.34283957458726,42.5318008513302,"CD86;IFITM3;IFITM1;CSF3R;IFITM2;ITGAM;CSF1;ITGB2;IFIT3;IFIT2;CCL8;ITGAX;TRIM25;RSAD2;STAT1;STAT2;MX1;MSN;ISG15;OSMR;BST2;OAS1;OAS2;IRF7;PTPN6;VIM;XAF1;IRF9"
"9","regulation of viral genome replication (GO:0045069)","12/64",3.73046726856868e-14,7.49202176437543e-12,2.42922578973038e-12,5.49040086665428e-10,-1.349869061453,41.7374894590271,"BST2;IFITM3;IFITM1;IFITM2;IFI16;OAS1;RSAD2;OAS2;MX1;EIF2AK2;ISG15;ZC3HAV1"
"10","response to interferon-beta (GO:0035456)","6/20",5.06653270426121e-09,4.69628608356519e-07,8.1753921295985e-08,7.57795962782015e-06,-2.13722111151702,40.8222250926973,"BST2;IFITM3;IFITM1;IFITM2;STAT1;XAF1"
