"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Immune System_Homo sapiens_R-HSA-168256","61/1547",1.03555767735099e-29,3.09631745527947e-27,7.32940695158447e-24,2.19149267852376e-21,-2.23223334179793,148.979314833475,"IFITM3;CD86;IGHM;IFITM1;ITGAM;IFITM2;CSF3R;PROS1;ITGB2;TREM2;IFIT3;CTSS;IFIT2;C4B;IFIH1;C4A;C3AR1;TRIM25;HLA-DOB;FCER1G;RSAD2;DDX58;SLC11A1;TAP2;CYBB;TAP1;OSMR;APBB1IP;TYROBP;OAS1;OAS2;IRF7;TRIM14;CD300C;USP41;IRF9;C1QB;C1QA;UBA7;UNC93B1;PLD4;USP18;C3;IFI16;CLEC7A;PLCG2;LAIR1;STAT1;STAT2;MX1;LY86;EIF2AK2;ISG15;BST2;FCGR2A;PTPRC;PTPN6;FCGR2B;XAF1;CD22;C1QC"
"2","Interferon Signaling_Homo sapiens_R-HSA-913531","24/196",1.18502037925877e-22,1.18107031132791e-20,2.12601254296141e-18,2.11892583448487e-16,-2.08621451964991,105.326946263435,"IFITM3;IFITM1;IFITM2;RSAD2;UBA7;STAT1;DDX58;STAT2;MX1;EIF2AK2;ISG15;USP18;IFIT3;IFIT2;BST2;OAS1;OAS2;IRF7;TRIM14;TRIM25;PTPN6;USP41;XAF1;IRF9"
"3","Interferon alpha/beta signaling_Homo sapiens_R-HSA-909733","18/68",1.25058995034263e-23,1.86963197576223e-21,3.69950310174984e-19,5.53075713711601e-17,-1.85529778129901,97.8406901725843,"IFITM3;IFITM1;IFITM2;RSAD2;STAT1;STAT2;MX1;ISG15;USP18;IFIT3;IFIT2;BST2;OAS1;OAS2;IRF7;PTPN6;XAF1;IRF9"
"4","Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215","27/620",7.68121375366647e-14,5.74170728086569e-12,2.40662496646941e-10,1.79895216243588e-08,-2.37800952549858,71.8097374868061,"IFITM3;IFITM1;CSF3R;IFITM2;UBA7;USP18;IFIT3;IFIT2;TRIM25;RSAD2;STAT1;DDX58;STAT2;MX1;EIF2AK2;ISG15;OSMR;APBB1IP;BST2;OAS1;OAS2;IRF7;TRIM14;PTPN6;USP41;XAF1;IRF9"
"5","Innate Immune System_Homo sapiens_R-HSA-168249","29/807",1.02373346799364e-12,6.12192613860197e-11,3.37378085226647e-09,2.01752094965535e-07,-2.39508488492296,66.1224614215277,"CD86;C1QB;C1QA;ITGAM;UBA7;UNC93B1;PROS1;ITGB2;PLD4;TREM2;CTSS;C3;C4B;IFIH1;C4A;IFI16;CLEC7A;C3AR1;PLCG2;TRIM25;FCER1G;DDX58;LY86;ISG15;APBB1IP;FCGR2A;TYROBP;IRF7;C1QC"
"6","Antiviral mechanism by IFN-stimulated genes_Homo sapiens_R-HSA-1169410","9/72",2.80854014488023e-09,1.19964786188456e-07,1.45200171965784e-07,6.2021216311099e-06,-2.06035125974483,40.5695545960734,"UBA7;STAT1;DDX58;MX1;EIF2AK2;TRIM25;ISG15;USP41;USP18"
"7","ISG15 antiviral mechanism_Homo sapiens_R-HSA-1169408","9/72",2.80854014488023e-09,1.19964786188456e-07,1.45200171965784e-07,6.2021216311099e-06,-2.05011206648922,40.3679387270129,"UBA7;STAT1;DDX58;MX1;EIF2AK2;TRIM25;ISG15;USP41;USP18"
"8","Cell surface interactions at the vascular wall_Homo sapiens_R-HSA-202733","9/101",5.75326737492152e-08,2.15028368137692e-06,2.01469256429296e-06,7.52991345904492e-05,-1.88815067218655,31.4771952308329,"CD84;FCER1G;SELPLG;ITGAM;PROS1;ITGB2;ITGAX;PTPN6;CD48"
"9","Adaptive Immune System_Homo sapiens_R-HSA-1280218","20/762",8.04951474661667e-07,2.18800446294399e-05,0.000138438547320546,0.0024348897440496,-2.19823961414603,30.8467618647397,"CD86;IGHM;IFITM1;UBA7;ITGB2;TAP2;TAP1;CYBB;TREM2;CTSS;C3;PTPRC;TYROBP;PLCG2;PTPN6;CD300C;FCGR2B;HLA-DOB;CD22;LAIR1"
"10","Complement cascade_Homo sapiens_R-HSA-166658","8/80",1.30419263443989e-07,4.33281775219475e-06,3.4826392646176e-06,0.000115701015568962,-1.84028904548622,29.1732032064093,"C4B;C1QB;C3;C4A;C1QA;PROS1;C3AR1;C1QC"
"11","Hemostasis_Homo sapiens_R-HSA-109582","16/552",3.17136163508722e-06,6.32158085927385e-05,0.000244695083900488,0.00378882568737789,-2.03582667085799,25.7763130508646,"LGALS3BP;CD84;ITGAM;FCER1G;SELPLG;PROS1;ITGB2;PLEK;PIK3CG;APBB1IP;PLCG2;ITGAX;IRF7;PTPN6;CD48;DOCK2"
"12","Regulation of Complement cascade_Homo sapiens_R-HSA-977606","5/26",1.16367785883918e-06,2.89949733160761e-05,1.55470886788933e-05,0.000422598137726283,-1.88599380245275,25.7700778681844,"C3;C4B;C4A;PROS1;C3AR1"
"13","Interferon gamma signaling_Homo sapiens_R-HSA-877300","8/93",4.22818322214699e-07,1.26422678342195e-05,9.79675607706835e-06,0.000292923006704344,-1.70992035363394,25.0953438390721,"OAS1;OAS2;STAT1;IRF7;TRIM14;TRIM25;PTPN6;IRF9"
"14","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933","9/157",2.45954047619304e-06,5.65578186090026e-05,5.67516623622107e-05,0.00113124980308673,-1.91424185001212,24.7234595720291,"C3;IFITM1;TYROBP;ITGB2;TREM2;CD300C;FCGR2B;CD22;LAIR1"
"15","Initial triggering of complement_Homo sapiens_R-HSA-166663","6/58",4.20474034382584e-06,7.85760851752453e-05,5.18269194391161e-05,0.00110687492230684,-1.88478068477217,23.3322617912812,"C4B;C1QB;C3;C4A;C1QA;C1QC"
"16","Negative regulators of RIG-I/MDA5 signaling_Homo sapiens_R-HSA-936440","5/34",4.69490214088683e-06,8.25750435367742e-05,4.93088450413774e-05,0.00110687492230684,-1.76629571229435,21.6707408919738,"IFIH1;UBA7;DDX58;TRIM25;ISG15"
"17","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways_Homo sapiens_R-HSA-168928","6/79",2.54415060007651e-05,0.000400368962854145,0.000253433156346347,0.00378882568737789,-1.79994601935913,19.0418604534393,"IFIH1;UBA7;DDX58;IRF7;TRIM25;ISG15"
"18","Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898","7/140",7.98302620614369e-05,0.00110801309907441,0.00085698225248227,0.0106765705621749,-1.99242530301293,18.7997439323931,"ITGAM;UNC93B1;ITGB2;LY86;PLCG2;IRF7;CTSS"
"19","TRAF3-dependent IRF activation pathway_Homo sapiens_R-HSA-918233","4/14",2.64819217567236e-06,5.65578186090026e-05,3.09124334497676e-05,0.000770234800123377,-1.43112846285288,18.378026994743,"IFIH1;DDX58;IRF7;TRIM25"
"20","Regulation of IFNA signaling_Homo sapiens_R-HSA-912694","4/25",3.14252633939019e-05,0.000469807687738833,0.000219661797051146,0.00364882651768293,-1.58136782856356,16.3954610141373,"STAT1;STAT2;PTPN6;USP18"
"21","TRAF6 mediated IRF7 activation_Homo sapiens_R-HSA-933541","4/32",8.58322252537932e-05,0.00111581892829931,0.000515092563075086,0.00700057619815686,-1.65678341911541,15.5126554001565,"IFIH1;DDX58;IRF7;TRIM25"
"22","Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002","8/253",0.000577167155145851,0.00616332069245034,0.00593353747364363,0.0572299259554659,-1.9431537729879,14.4908334340178,"APBB1IP;LGALS3BP;FCER1G;PROS1;PLEK;PLCG2;PTPN6;PIK3CG"
"23","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers_Homo sapiens_R-HSA-983695","4/47",0.000390868956475589,0.00432851177726671,0.00193865407999774,0.0214687988859009,-1.62979453101858,12.7892229287538,"IGHM;PLCG2;PTPN6;CD22"
"24","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10_Homo sapiens_R-HSA-933543","3/12",8.15260474235355e-05,0.00110801309907441,0.000462624337015804,0.00658688936989168,-1.31584274309834,12.3881172839153,"IFIH1;DDX58;TRIM25"
"25","TRAF6 mediated NF-kB activation_Homo sapiens_R-HSA-933542","3/24",0.000703064342325616,0.00700720794517864,0.00271534624296956,0.0289960188088535,-1.64291304540102,11.9276508084184,"IFIH1;DDX58;TRIM25"
"26","Other semaphorin interactions_Homo sapiens_R-HSA-416700","3/19",0.000345778956584828,0.00397645800072553,0.00148477285267564,0.0170748878057698,-1.44814546317319,11.541300596996,"TYROBP;PTPRC;TREM2"
"27","GPVI-mediated activation cascade_Homo sapiens_R-HSA-114604","4/53",0.000620182305225183,0.00639429342283896,0.00292148787593924,0.0301215474105459,-1.54546263161338,11.4140097568329,"FCER1G;PLCG2;PTPN6;PIK3CG"
"28","CD22 mediated BCR regulation_Homo sapiens_R-HSA-5690714","3/18",0.000292755674572323,0.00350135786788499,0.00129206204331281,0.0154530620380212,-1.39309387222936,11.3344515962083,"IGHM;PTPN6;CD22"
"29","Termination of translesion DNA synthesis_Homo sapiens_R-HSA-5656169","3/30",0.00136555186885648,0.0131709680254222,0.00484055411108663,0.0482441893071635,-1.71191002397406,11.2920951353212,"UBA7;TRIM25;ISG15"
"30","Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016","5/122",0.0020852931121346,0.0194844575165077,0.0105789198513651,0.0903742010159476,-1.82423591519081,11.2607271026156,"ITGAM;ITGB2;LY86;PLCG2;IRF7"
"31","Signal regulatory protein (SIRP) family interactions_Homo sapiens_R-HSA-391160","3/13",0.000105413132535707,0.00131327194284069,0.000565072148639432,0.00734593793231262,-1.20071755621056,10.995719108503,"TYROBP;PTPN6;SKAP2"
"32","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template_Homo sapiens_R-HSA-110313","3/37",0.00251711493770357,0.0221358048933343,0.0083154978105229,0.0753434498589802,-1.71700288926281,10.2756474323171,"UBA7;TRIM25;ISG15"
"33","Antigen processing-Cross presentation_Homo sapiens_R-HSA-1236975","4/82",0.00314346641720035,0.0268541845355115,0.0124837371345669,0.0982273000851451,-1.78275458623793,10.2729969655277,"TAP2;TAP1;CYBB;CTSS"
