"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Staphylococcus aureus infection_Homo sapiens_hsa05150","14/56",3.18137380555864e-18,4.48573706583769e-16,1.61749260814962e-14,2.28066457749097e-12,-1.83006097402644,73.7317265534773,"C1QB;C1QA;SELPLG;ITGAM;ITGB2;C4B;C3;C4A;FCGR2A;C3AR1;FCGR2B;FCGR2C;HLA-DOB;C1QC"
"2","Complement and coagulation cascades_Homo sapiens_hsa04610","12/79",5.29569141317426e-13,3.73346244628785e-11,2.41913955073538e-10,1.70549338326845e-08,-1.79152971094477,50.6406555609329,"C4B;C1QB;C3;C4A;C1QA;ITGAM;PROS1;ITGB2;C3AR1;BDKRB2;ITGAX;C1QC"
"3","Influenza A_Homo sapiens_hsa05164","14/175",4.43110590552393e-11,1.56196483169719e-09,1.54427987190688e-08,5.44358654847175e-07,-1.891626229196,45.0959660659922,"RSAD2;DDX58;STAT1;STAT2;MX1;EIF2AK2;PIK3CG;IFIH1;OAS1;OAS2;IRF7;TRIM25;HLA-DOB;IRF9"
"4","Measles_Homo sapiens_hsa05162","13/136",2.38198801701538e-11,1.11953436799723e-09,7.40205624354343e-09,3.47896643446541e-07,-1.80763082255382,44.2155547883012,"DDX58;STAT1;STAT2;MX1;MSN;EIF2AK2;PIK3CG;IFIH1;OAS1;OAS2;IRF7;FCGR2B;IRF9"
"5","Herpes simplex infection_Homo sapiens_hsa05168","14/185",9.33476621161326e-11,2.63240407167494e-09,2.98686460469903e-08,8.42295818525128e-07,-1.68200121526033,38.8452971347457,"DDX58;STAT1;STAT2;TAP2;TAP1;EIF2AK2;C3;IFIH1;OAS1;OAS2;IFIT1B;IRF7;HLA-DOB;IRF9"
"6","Osteoclast differentiation_Homo sapiens_hsa04380","12/132",2.59015748715314e-10,6.08687009480987e-09,4.97122400652346e-08,1.16823764153301e-06,-1.73474021590162,38.2928849455997,"TYROBP;FCGR2A;CSF1;STAT1;STAT2;PLCG2;CYBB;TREM2;FCGR2B;FCGR2C;IRF9;PIK3CG"
"7","Tuberculosis_Homo sapiens_hsa05152","13/178",6.98932525909975e-10,1.40784980219009e-08,1.45631440398887e-07,2.9334332994633e-06,-1.65810465579632,34.9552784308565,"FCER1G;ITGAM;STAT1;ITGB2;LSP1;CTSS;C3;FCGR2A;CLEC7A;ITGAX;FCGR2B;HLA-DOB;FCGR2C"
"8","Phagosome_Homo sapiens_hsa04145","12/154",1.54768825032014e-09,2.72780054118925e-08,2.40121586390927e-07,4.2321429601401e-06,-1.53855012946856,31.211802541375,"C3;FCGR2A;ITGAM;CLEC7A;ITGB2;TAP2;TAP1;CYBB;FCGR2B;HLA-DOB;FCGR2C;CTSS"
"9","Hepatitis C_Homo sapiens_hsa05160","10/133",5.27772380723006e-08,8.26843396466043e-07,3.57474677138176e-06,4.58217540695298e-05,-1.63248674377667,27.35588374076,"OAS1;DDX58;OAS2;STAT1;STAT2;IFIT1B;IRF7;EIF2AK2;IRF9;PIK3CG"
"10","Leishmaniasis_Homo sapiens_hsa05140","8/73",6.31537066298303e-08,8.90467263480607e-07,2.76984251271643e-06,4.33941993658907e-05,-1.57835420045773,26.1654734232019,"C3;FCGR2A;ITGAM;STAT1;ITGB2;PTPN6;FCGR2C;HLA-DOB"
"11","Pertussis_Homo sapiens_hsa05133","8/75",7.82890461775767e-08,1.00352322827621e-06,3.33636855159796e-06,4.58217540695298e-05,-1.41533497609143,23.1589254333692,"C4B;C1QB;C3;C4A;C1QA;ITGAM;ITGB2;C1QC"
"12","Systemic lupus erythematosus_Homo sapiens_hsa05322","9/135",6.96994908221734e-07,8.18969017160537e-06,2.81701877148959e-05,0.000330999705650026,-1.47238286110196,20.8732175664678,"CD86;C4B;C3;C1QB;C4A;C1QA;FCGR2A;HLA-DOB;C1QC"
"13","B cell receptor signaling pathway_Homo sapiens_hsa04662","6/73",1.61545343133269e-05,0.000175214564475315,0.000230215427928991,0.00249695194907598,-1.5934972273374,17.5815485511774,"IFITM1;PLCG2;PTPN6;FCGR2B;CD22;PIK3CG"
"14","Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650","7/135",6.34387093389422e-05,0.000602808289951884,0.00097136905827783,0.0091308691478116,-1.51651803856578,14.657808538137,"TYROBP;FCER1G;ITGB2;PLCG2;PTPN6;CD48;PIK3CG"
"15","Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666","6/93",6.41285414842429e-05,0.000602808289951884,0.000778050091463109,0.00783607592116417,-1.46310436603716,14.1257181787554,"PTPRC;FCGR2A;PLCG2;FCGR2B;DOCK2;PIK3CG"
"16","Jak-STAT signaling pathway_Homo sapiens_hsa04630","7/158",0.000169784658137498,0.00125998088407301,0.00231334507998721,0.0171674555935893,-1.47315127314118,12.7883962098337,"CSF3R;STAT1;STAT2;PTPN6;OSMR;IRF9;PIK3CG"
"17","Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514","7/142",8.72855746208102e-05,0.00076920412634589,0.00128754228230596,0.011124253778212,-1.36469685029531,12.7549007641664,"CD86;PTPRC;SELPLG;ITGAM;ITGB2;HLA-DOB;CD22"
"18","Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142","6/104",0.000119489552191718,0.000991060403472487,0.00134999066136897,0.011124253778212,-1.39817950609465,12.6287510540418,"C3;C1QB;C1QA;BDKRB2;PIK3CG;C1QC"
"19","Platelet activation_Homo sapiens_hsa04611","6/122",0.00028570298297348,0.00191348851373413,0.00291838773616491,0.0194451946591559,-1.38847334962809,11.330717034303,"APBB1IP;FCGR2A;FCER1G;PLCG2;PIK3CG;FERMT3"
"20","Chemokine signaling pathway_Homo sapiens_hsa04062","7/187",0.000472925513978412,0.00282517094934542,0.00566590985202932,0.0332872203806723,-1.35752308361678,10.3939741240888,"CX3CR1;CCL8;STAT1;STAT2;DOCK2;PIK3CG;CXCL16"
"21","Leukocyte transendothelial migration_Homo sapiens_hsa04670","6/118",0.000238562190853916,0.0016818634455201,0.00248870596205981,0.0175453770325217,-1.23905317697132,10.3347945111703,"ITGAM;ITGB2;PLCG2;CYBB;MSN;PIK3CG"
"22","Lysosome_Homo sapiens_hsa04142","6/123",0.000298558491504615,0.00191348851373413,0.00303400200355624,0.0194451946591559,-1.24705573111302,10.1217835761014,"NPC2;SLC11A1;CTSZ;LAPTM5;MAN2B1;CTSS"
"23","RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622","5/70",0.000165138628972077,0.00125998088407301,0.00142011750360153,0.011124253778212,-1.15752590612823,10.0805750992216,"IFIH1;DDX58;IRF7;TRIM25;ISG15"
"24","Hepatitis B_Homo sapiens_hsa05161","6/146",0.000742107610196283,0.00418548692150704,0.00675846059595237,0.0381177177611714,-1.32463026048376,9.545307245994,"IFIH1;DDX58;STAT1;STAT2;IRF7;PIK3CG"
"25","Hematopoietic cell lineage_Homo sapiens_hsa04640","5/88",0.00048088016159071,0.00282517094934542,0.00366050953541529,0.0224405149779807,-1.11449659741982,8.51463415489216,"CSF3R;ITGAM;CSF1;CD37;CD22"
"26","Regulation of actin cytoskeleton_Homo sapiens_hsa04810","6/214",0.0050739260096108,0.0238474522451707,0.0354563317212437,0.147039493314569,-1.20367421489754,6.35978171047768,"ITGAM;ITGB2;BDKRB2;ITGAX;MSN;PIK3CG"
"27","AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933","4/101",0.00659344869166143,0.0299895569523955,0.0292727056164413,0.133143596513491,-1.20393444120945,6.045771994278,"STAT1;PLCG2;CYBB;PIK3CG"
"28","Antigen processing and presentation_Homo sapiens_hsa04612","4/77",0.00250179267480331,0.0126754716505787,0.0124325569920083,0.0626068048526131,-0.942675606861191,5.64733175585013,"TAP2;TAP1;HLA-DOB;CTSS"
"29","Rheumatoid arthritis_Homo sapiens_hsa05323","4/90",0.00438974040882535,0.0213432206084267,0.0204543872639022,0.09945064152449,-0.972933760434483,5.28155650550653,"CD86;CSF1;ITGB2;HLA-DOB"
